,Unnamed: 0,channel,channelusage
0,N7_AP_197,36,43.36151603498542
1,N7_AP_212,153,16.083333333333332
9,N7_AP_298,44,36.12777777777778
10,N7_AP_299,157,36.48888888888889
11,N7_AP_300,157,33.42222222222223
12,N7_AP_301,36,42.555555555555564
13,N7_AP_302,40,47.738888888888894
14,N7_AP_303,60,42.74722222222222
15,N7_AP_304,48,16.45277777777778
16,N7_AP_305,149,28.96388888888889
17,N7_AP_306,56,33.60833333333333
19,N7_AP_308,52,14.819444444444445
20,N7_AP_309,64,21.636111111111113
21,N7_AP_310,44,39.89444444444445
23,N7_AP_313,48,11.061111111111114
37,N7_AP_334,60,42.09166666666667
38,N7_AP_335,153,32.76111111111111
39,N7_AP_336,44,47.33333333333334
40,N7_AP_337,161,21.71388888888889
41,N7_AP_338,165,33.17222222222223
42,N7_AP_339,161,37.477777777777774
43,N7_AP_340,153,31.30833333333333
44,N7_AP_341,165,39.04166666666666
45,N7_AP_342,165,36.647222222222226
46,N7_AP_343,157,44.53333333333333
47,N7_AP_344,60,33.84166666666667
48,N7_AP_345,149,35.291666666666664
49,N7_AP_346,40,27.002777777777773
50,N7_AP_348,44,40.425
60,N7_AP_359,165,23.372222222222227
61,N7_AP_3,48,32.016666666666666
62,N7_AP_9,44,33.888888888888886
63,N7_AP_20,64,13.194444444444445
64,N7_AP_57,60,34.96388888888889
65,N7_AP_64,153,27.925
66,N7_AP_79,149,31.913888888888888
67,N7_AP_84,52,21.68333333333333
