,apname,power,channel,channelusage,interferenceratio
0,N6_AP_123,32.0,40.0,9.096296296296297,9.072222222222223
1,N6_AP_128,32.0,40.0,3.651851851851852,3.387037037037037
2,N6_AP_155,32.0,40.0,6.161111111111111,2.9814814814814814
3,N6_AP_158,31.533333333333335,40.0,7.2518518518518515,7.238888888888889
4,N6_AP_167,32.0,40.0,13.762962962962963,12.987037037037037
5,N6_AP_178,32.0,40.0,12.920370370370371,12.87037037037037
6,N7_AP_308,32.0,40.0,1.8018518518518518,1.6796296296296296
7,N7_AP_309,32.0,40.0,2.301851851851852,2.301851851851852
8,N7_AP_315,32.0,40.0,2.6574074074074074,2.640740740740741
9,N7_AP_324,32.0,40.0,2.238888888888889,2.2351851851851854
10,N7_AP_325,32.0,40.0,2.390740740740741,2.390740740740741
11,N7_AP_344,32.0,40.0,3.5296296296296297,3.5074074074074075
12,N7_AP_64,32.0,40.0,3.238888888888889,3.237037037037037
